OrgDefinedId,EPIC Android Project (Extra Credit) Points Grade <Numeric MaxPoints:1>,End-of-Line Indicator
#0755452,,#
#0866488,,#
#0951698,,#
#1044216,,#
#1059718,,#
#1157716,,#
#1208597,,#
#1216333,,#
#1156169,,#
#1234757,,#
#0971847,,#
#1160962,,#
#1224816,,#
#1229403,,#
#1303242,,#
#1303822,,#
#1307462,,#
#1308112,,#
#1308794,,#
#1313714,,#
#1315866,,#
#1318580,,#
#1319311,,#
#1328663,,#
#1332180,,#
#1308178,,#
#1330046,,#
#1302518,,#
#1311983,,#
#1314002,,#
#1316842,,#
#1317167,,#
#1304894,,#
#1327913,,#
#1330476,,#
#1404451,,#
#1200089,,#
#1300951,,#
#1306894,,#
#1307639,,#
#1313102,,#
#1314117,,#
#1320020,,#
#1324840,,#
#1331996,,#
#1332119,,#
#1400165,,#
#1400237,,#
#1400414,,#
#1400605,,#
#1400725,,#
#1401184,,#
#1401393,,#
#1401437,,#
#1401464,,#
#1401929,,#
#1402029,,#
#1402054,,#
#1402100,,#
#1402222,,#
#1402529,,#
#1402654,,#
#1402704,,#
#1402769,,#
#1402885,,#
#1403001,,#
#1403028,,#
#1403065,,#
#1403389,,#
#1403426,,#
#1403531,,#
#1403627,,#
#1403652,,#
#1403716,,#
#1403889,,#
#1404009,,#
#1404024,,#
#1404063,,#
#1404066,,#
#1404068,,#
#1404091,,#
#1404420,,#
#1404421,,#
#1404443,,#
#1404450,,#
#1404504,,#
#1404603,,#
#1404793,,#
#1404912,,#
#1405035,,#
#1405050,,#
#1405149,,#
#1405297,,#
#1405586,,#
#1405643,,#
#1405722,,#
#1405736,,#
#1405793,,#
#1405862,,#
#1405897,,#
#1405907,,#
#1405956,,#
#1406007,,#
#1406058,,#
#1406077,,#
#1406212,,#
#1406331,,#
#1406387,,#
#1406398,,#
#1406403,,#
#1406488,,#
#1406512,,#
#1406581,,#
#1406667,,#
#1406707,,#
#1406816,,#
#1406855,,#
#1406882,,#
#1406891,,#
#1407259,,#
#1407331,,#
#1407485,,#
#1407527,,#
#1407596,,#
#1407629,,#
#1407633,,#
#1407675,,#
#1407857,,#
#1408380,,#
#1408416,,#
#1408559,,#
#1408723,,#
#1408920,,#
#1409109,,#
#1409121,,#
#1409123,,#
#1409227,,#
#1409312,,#
#1409328,,#
#1409386,,#
#1409662,,#
#1409712,,#
#1409854,,#
#1409856,,#
#1409967,,#
#1409986,,#
#1410078,,#
#1410325,,#
#1410341,,#
#1410849,,#
#1410871,,#
#1410885,,#
#1411198,,#
#1411225,,#
#1411294,,#
#1411376,,#
#1411552,,#
#1411630,,#
#1411677,,#
#1411717,,#
#1411746,,#
#1411886,,#
#1411912,,#
#1411963,,#
#1412017,,#
#1412021,,#
#1412095,,#
#1412283,,#
#1412317,,#
#1412322,,#
#1412429,,#
#1412493,,#
#1412550,,#
#1412606,,#
#1412662,,#
#1412682,,#
#1412734,,#
#1412735,,#
#1412747,,#
#1412767,,#
#1412831,,#
#1412885,,#
#1413052,,#
#1413125,,#
#1413470,,#
#1413615,,#
#1413714,,#
#1413881,,#
#1413898,,#
#1413950,,#
#1414117,,#
#1414210,,#
#1414328,,#
#1414338,,#
#1414547,,#
#1414651,,#
#1414732,,#
#1414767,,#
#1414828,,#
#1414960,,#
#1414984,,#
#1415006,,#
#1415010,,#
#1415175,,#
#1415183,,#
#1415472,,#
#1415496,,#
#1415915,,#
#1416031,,#
#1416044,,#
#1416117,,#
#1416119,,#
#1416194,,#
#1416219,,#
#1416297,,#
#1416340,,#
#1416453,,#
#1416458,,#
#1416464,,#
#1416498,,#
#1416578,,#
#1416646,,#
#1416770,,#
#1416898,,#
#1417003,,#
#1417122,,#
#1417230,,#
#1417418,,#
#1417446,,#
#1417448,,#
#1417464,,#
#1417606,,#
#1417616,,#
#1417663,,#
#1417837,,#
#1417956,,#
#1417966,,#
#1417976,,#
#1417993,,#
#1418076,,#
#1418097,,#
#1418205,,#
#1418256,,#
#1418263,,#
#1418308,,#
#1418502,,#
#1418554,,#
#1418570,,#
#1418581,,#
#1418625,,#
#1418717,,#
#1418765,,#
#1418804,,#
#1418835,,#
#1418866,,#
#1418997,,#
#1419055,,#
#1419332,,#
#1419350,,#
#1419436,,#
#1419475,,#
#1419537,,#
#1419567,,#
#1419589,,#
#1419709,,#
#1419784,,#
#1419931,,#
#1419964,,#
#1419973,,#
#1420101,,#
#1420196,,#
#1420241,,#
#1420255,,#
#1420281,,#
#1420389,,#
#1420450,,#
#1420505,,#
#1420634,,#
#1420673,,#
#1420778,,#
#1420941,,#
#1420973,,#
#1421026,,#
#1421094,,#
#1421518,,#
#1421569,,#
#1421588,,#
#1421673,,#
#1421699,,#
#1421731,,#
#1422018,,#
#1422126,,#
#1422176,,#
#1422438,,#
#1422472,,#
#1422544,,#
#1422559,,#
#1422582,,#
#1422591,,#
#1422929,,#
#1423289,,#
#1423322,,#
#1423566,,#
#1423648,,#
#1423660,,#
#1423662,,#
#1424064,,#
#1424086,,#
#1424131,,#
#1424187,,#
#1424660,,#
#1424694,,#
#1424827,,#
#1424997,,#
#1425081,,#
#1425158,,#
#1425213,,#
#1425386,,#
#1425514,,#
#1425594,,#
#1426138,,#
#1426221,,#
#1426474,,#
#1426669,,#
#1426682,,#
#1426879,,#
#1427032,,#
#1427075,,#
#1427436,,#
#1427520,,#
#1427571,,#
#1427659,,#
#1427757,,#
#1427895,,#
#1428665,,#
#1428706,,#
#1428822,,#
#1428908,,#
#1428937,,#
#1429283,,#
#1429465,,#
#1430050,,#
#1430167,,#
#1430258,,#
#1430323,,#
#1430410,,#
#1430600,,#
#1430814,,#
#1431037,,#
#1431670,,#
#1431692,,#
#1431732,,#
#1431977,,#
#1432054,,#
#1432096,,#
#1432121,,#
#1432483,,#
#1433140,,#
#1434070,,#
#1434217,,#
#1434497,,#
#1434510,,#
#1436489,,#
#1436850,,#
#1437066,,#
#1437242,,#
#1437500,,#
#1437696,,#
#1437726,,#
#1437783,,#
#1450148,,#
#1307117,,#
#1310716,,#
#1324688,,#
#1403581,,#
#1404173,,#
#1406622,,#
#1407788,,#
#1408421,,#
#1409764,,#
#1410870,,#
#1411455,,#
#1413296,,#
#1415373,,#
#1415485,,#
#1417332,,#
#1417525,,#
#1419883,,#
#1421736,,#
#1422046,,#
#1422061,,#
#1422248,,#
#1423469,,#
#1437148,,#
#1400242,,#
#1402472,,#
#1413886,,#
#1414333,,#
#1414782,,#
#1425476,,#
#1400174,,#
#1402921,,#
#1403202,,#
#1404270,,#
#1413645,,#
#1414916,,#
#1415660,,#
#1416029,,#
#1417643,,#
#1418811,,#
#1418834,,#
#1420822,,#
#1421540,,#
#1427881,,#
#1432799,,#
#1436541,,#
#1402325,,#
#1403763,,#
#1404494,,#
#1406744,,#
#1412850,,#
#1413315,,#
#1414793,,#
#1422586,,#
#1422856,,#
#1430794,,#
#1401391,,#
#1403712,,#
#1415152,,#
#1424307,,#
#1433201,,#
#1410869,,#
#1414562,,#
#1418381,,#
#1420400,,#
#1431222,,#
#1431873,,#
#1304005,,#
#1300638,,#
#1433629,,#
#1410234,,#
#1429851,,#
#1413265,,#
#1327042,,#
#1419316,,#
#1417420,,#
#1425398,,#
